timestep,human_obs,rewards,obs,actions,avg_action_dist,logstd_action_dist,original_rewards
37,"[[  8.73683847  -2.94906612   0.19600331  -0.08646194]
 [ 12.77121054  -1.86648589   0.           0.        ]]",-1.25356,"[-1.25012093 -0.47992422  0.96137385  0.15740812  1.69415145 -0.76020831
  0.38565439  0.13480929 -1.52515868  0.90454052  0.        ]",[-0.0662686  -0.59328574],[ 0.1438998  -0.61798644],[-0.26500118 -0.37462059],-0.201704574174
38,"[[  8.98709298  -3.00959404   0.19600331  -0.08646194]
 [ 12.25599901  -3.26101679   0.           0.        ]]",-1.23897,"[-1.43324972 -0.49450696  0.64749535  0.39712604  1.69414104 -0.76020641
  0.36791543 -0.05441945 -1.564257    0.88800484  0.        ]",[-0.1137092 -0.2877791],[ 0.20844547 -0.59655714],[-0.26500118 -0.37462059],-0.205360508674
39,"[[  9.22526364  -3.03125604   0.19600331  -0.08646194]
 [ 11.56332717   0.14973003   0.           0.        ]]",-1.23493,"[-1.53558731 -0.49841151  0.31198739  0.48343279  1.69413062 -0.7602045
  0.34406668  0.40839682 -1.58530126  0.89296259  0.        ]",[ 0.59763428 -1.15955085],[ 0.11217005 -0.65381914],[-0.26500118 -0.37462059],-0.208103952807
40,"[[  9.47797457  -3.02293067   0.19600331  -0.08646194]
 [ 13.70063426   0.49966301   0.           0.        ]]",-1.22688,"[-1.56091151 -0.49699172 -0.06175371  0.45023447  1.69412021 -0.7602026
  0.41765177  0.45587972 -1.60792143  0.92396598  0.        ]",[ 1.13433738 -1.22225339],[ 0.05046311 -0.7019726 ],[-0.26500118 -0.37462059],-0.212443237711
41,"[[  9.78899072  -3.01424823   0.19600331  -0.08646194]
 [ 17.38868901   0.3476518    0.           0.        ]]",-1.24071,"[-1.47264905 -0.49540171 -0.51233107  0.41564744  1.6941098  -0.76020069
  0.54462775  0.43525188 -1.64548328  0.9483375   0.        ]",[ 0.70761723 -0.79739983],[-0.00510281 -0.75704229],[-0.26500118 -0.37462059],-0.218178484449
42,"[[ 10.16142056  -3.00876745   0.19600331  -0.08646194]
 [ 19.84610524   0.20317621   0.           0.        ]]",-1.31675,"[-1.20632104 -0.49434023 -0.98156498  0.3938338   1.69409938 -0.76019879
  0.62923354  0.41564659 -1.6954386   0.9531825   0.        ]",[ 0.06925424 -1.58921817],[-0.05033274 -0.80211246],[-0.26500118 -0.37462059],-0.224312123818
43,"[[ 10.55715176  -3.00601384   0.19600331  -0.08646194]
 [ 19.72741225   0.08768188   0.           0.        ]]",-1.32918,"[-0.77149148 -0.49378968 -1.32891398  0.38288001  1.69408897 -0.76019688
  0.62514564  0.39997391 -1.74475929  0.932485    0.        ]",[ 0.4369997  -0.36370207],[-0.06352016 -0.82415819],[-0.26500118 -0.37462059],-0.229076546171
44,"[[ 10.96514139  -3.00416209   0.19600331  -0.08646194]
 [ 21.06708559   0.08368041   0.           0.        ]]",-1.42612,"[-0.22958868 -0.49341283 -1.46884077  0.37551586  1.69407856 -0.76019498
  0.67126823  0.3994302  -1.7834545   0.88916231  0.        ]",[ 0.41119825 -1.60423451],[-0.07827181 -0.8332966 ],[-0.26500118 -0.37462059],-0.231572093279
45,"[[  1.13986334e+01  -3.00350552e+00   1.96003314e-01  -8.64619355e-02]
 [  2.22780807e+01   3.11668627e-03   0.00000000e+00   0.00000000e+00]]",-1.49018,"[ 0.35161259 -0.49327736 -1.3503753   0.37290478  1.69406815 -0.76019307
  0.71296039  0.38849741 -1.80343919  0.82787664  0.        ]",[ 0.71042363  0.17823066],[-0.07115018 -0.81349111],[-0.26500118 -0.37462059],-0.231164419698
46,"[[ 11.86799175  -2.99635883   0.19600331  -0.08646194]
 [ 24.64984635   0.70921241   0.           0.        ]]",-1.51536,"[ 0.86541798 -0.49177127 -0.93868216  0.34450597  1.69405773 -0.76019117
  0.79461692  0.48431012 -1.80015074  0.7521471   0.        ]",[ 1.07246449 -0.48860418],[-0.02803572 -0.77881533],[-0.26500118 -0.37462059],-0.227522534455
47,"[[ 12.39581658  -3.00172091   0.19600331  -0.08646194]
 [ 28.12109604  -0.87260125   0.           0.        ]]",-1.50247,"[ 1.16739287 -0.49290664 -0.23503426  0.36580947  1.69404732 -0.76018926
  0.91412754  0.2696652  -1.75790408  0.69112731  0.        ]",[ 0.57091054 -1.42963999],[ 0.12325523 -0.69558203],[-0.26500118 -0.37462059],-0.219829185765
48,"[[ 12.97533292  -3.00872049   0.19600331  -0.08646194]
 [ 29.82484623  -0.04306863   0.           0.        ]]",-1.39804,"[ 1.0739417  -0.49432512  0.60858073  0.39364309  1.69403691 -0.76018736
  0.97278376  0.38222823 -1.69095189  0.66246779  0.        ]",[ 0.37060699  0.78410658],[ 0.18872684 -0.64712375],[-0.26500118 -0.37462059],-0.210338558926
49,"[[ 13.58062918  -2.97841664   0.19600331  -0.08646194]
 [ 30.70183341   3.06312631   0.           0.        ]]",-1.38205,"[ 0.53863618 -0.48765763  1.27978627  0.27334225  1.6940265  -0.76018545
  1.00297478  0.80372295 -1.59175441  0.66453557  0.        ]",[-1.88967692 -1.4791613 ],[ 0.05826826 -0.67497951],[-0.26500118 -0.37462059],-0.19804028242
