timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
10,[-1.10454965 -0.38232416],[-2.74719302  0.76610527],-0.0274962510835,-0.0274962510835,"[[-0.49898458 -0.59838363  0.12615694 -0.17058717]
 [ 8.3353684  -2.81077923  0.          0.        ]]","[ 0.84528251  1.70397488 -0.86326771 -0.63316651  1.08344455 -1.46374434
  0.8975149  -0.06658984 -0.24210139  0.31530264  0.        ]",[-0.27900162 -0.14690769]
11,[-0.92764401 -0.55600691],[-0.79843391 -1.28625761],-0.0494737100983,-0.0494737100983,"[[-0.37363542 -0.62358948  0.12615694 -0.17058717]
 [ 4.21325763  0.27986495  0.          0.        ]]","[ 0.92187871  1.68457597 -0.68982751 -0.68823644  1.08344267 -1.46374067
  0.50165665  0.34948233 -0.12187343  0.46933775  0.        ]",[-0.27900162 -0.14690769]
12,[-0.16269106  0.02490512],[ 0.32791261 -1.99388805],-0.0562911630429,-0.0562911630429,"[[-0.32188544 -0.65776405  0.12615694 -0.17058717]
 [ 0.97251757 -3.68412351  0.          0.        ]]","[ 0.94739272  1.65717437 -0.61551054 -0.76131448  1.0834408  -1.463737
  0.19043904 -0.1841628  -0.09446973  0.52351085  0.        ]",[-0.27900162 -0.14690769]
13,[-0.07031253  0.51501936],[-0.3824733   2.31794025],-0.051694374497,-0.051694374497,"[[-0.28959888 -0.77044684  0.12615694 -0.17058717]
 [ 2.25186114 -7.57119447  0.          0.        ]]","[ 0.96145241  1.55823863 -0.56847606 -0.9883355   1.08343892 -1.46373333
  0.31329785 -0.70745275 -0.14768072  0.50932466  0.        ]",[-0.27900162 -0.14690769]
14,[-0.10470724  0.30267346],[-1.2219184  -0.02000308],-0.0477495015776,-0.0477495015776,"[[-0.260205   -0.88063384  0.12615694 -0.17058717]
 [ 0.69273483 -3.46121152  0.          0.        ]]","[ 0.97299568  1.44967979 -0.52525884 -1.18755941  1.08343704 -1.46372966
  0.16357017 -0.15415243 -0.20543548  0.49838177  0.        ]",[-0.27900162 -0.14690769]
15,[ 0.68818009  0.57845896],[ 0.92731532  0.975613  ],-0.0389133393201,-0.0389133393201,"[[-0.2861854  -0.94995297  0.12615694 -0.17058717]
 [-3.27758607 -3.47067616  0.          0.        ]]","[ 0.96285179  1.37598791 -0.56347488 -1.30024645  1.08343516 -1.463726
 -0.21771168 -0.15542647 -0.28991482  0.43982517  0.        ]",[-0.27900162 -0.14690769]
16,[-0.15742087  0.06544968],[ 0.94007126  0.48435977],-0.0338669471739,-0.0338669471739,"[[-0.31428625 -0.97992898  0.12615694 -0.17058717]
 [ 0.45510507  0.45997687  0.          0.        ]]","[ 0.95082565  1.34293729 -0.60448153 -1.34577662  1.08343328 -1.46372233
  0.1407502   0.37373219 -0.34608657  0.39769686  0.        ]",[-0.27900162 -0.14690769]
17,[-1.10297322 -0.4017615 ],[-0.52462862 -1.85181826],-0.0416237512658,-0.0416237512658,"[[-0.26796133 -0.95158906  0.12615694 -0.17058717]
 [ 4.1650113   2.36766815  0.          0.        ]]","[ 0.9700618   1.37419581 -0.53669534 -1.30277652  1.0834314  -1.46371866
  0.49702388  0.6305521  -0.2719822   0.46140417  0.        ]",[-0.27900162 -0.14690769]
18,[-0.57896554  0.08170354],[-0.72083431  0.08335577],-0.0523642423505,-0.0523642423505,"[[-0.20630263 -0.94442693  0.12615694 -0.17058717]
 [ 2.00805689 -1.63811516  0.          0.        ]]","[ 0.99101528  1.38199514 -0.44515071 -1.29162987  1.08342952 -1.46371499
  0.28988427  0.09127808 -0.20334048  0.54220832  0.        ]",[-0.27900162 -0.14690769]
19,[-0.11291003  0.19544864],[ 0.06469557  1.06352424],-0.0521712683107,-0.0521712683107,"[[-0.19515663 -0.97354361  0.12615694 -0.17058717]
 [-0.88383582 -1.27477124  0.          0.        ]]","[ 0.99422927  1.35002486 -0.42846477 -1.33623424  1.08342764 -1.46371132
  0.01216617  0.14019276 -0.21624136  0.54496615  0.        ]",[-0.27900162 -0.14690769]
