timestep,logstd_action_dist,original_rewards,rewards,obs,avg_action_dist,actions,human_obs
36,[-0.29179877 -0.31319767],-0.208543210251,-0.054207,"[-0.93944529 -0.85519524 -1.09070781 -0.10539789 -0.53425388  1.6253231
 -1.35965127 -0.19613188  0.40059338 -1.29381606  0.        ]",[-1.79403448  0.6391778 ],[-2.38317268  0.71616499],"[[ -3.98956229e+01   2.94076843e+00  -6.17390861e-02   1.84300120e-01]
 [ -9.87018411e+01   6.01354388e-01   0.00000000e+00   0.00000000e+00]]"
37,[-0.29179877 -0.31319767],-0.206835709647,-1.33137,"[-0.81904317 -0.86411421  1.38260746 -0.1941478  -0.53425247  1.62531096
 -1.41768651  0.21598852  0.17761646 -1.36374352  0.        ]",[-1.85705137  0.36990616],[-1.98323162  0.00528619],"[[ -4.18897812e+01   2.98104499e+00  -6.17390861e-02   1.84300120e-01]
 [ -1.00707371e+02   3.41715124e+00   0.00000000e+00   0.00000000e+00]]"
38,[-0.29179877 -0.31319767],-0.180527252149,-1.3239,"[ 1.24493194 -0.87235448  0.19076796 -0.30372538 -0.53425106  1.62529881
 -1.47457829 -0.19413173  0.18385214 -1.16451356  0.        ]",[-1.84096014  0.63862479],[-1.81887587  1.39134478],"[[ -4.39236551e+01   3.03042066e+00  -6.17390861e-02   1.84300120e-01]
 [ -1.02673426e+02   6.15026142e-01   0.00000000e+00   0.00000000e+00]]"
39,[-0.29179877 -0.31319767],-0.196879870151,-0.0844158,"[-0.72334832 -0.87200557 -1.22748803 -0.29815956 -0.53424965  1.62528667
 -1.53033174 -0.35488054  0.35273572 -1.2242522   0.        ]",[-1.77946079  0.67334086],[-2.08066612  0.9131337 ],"[[ -4.59964558e+01   3.02792060e+00  -6.17390861e-02   1.84300120e-01]
 [ -1.04600184e+02  -4.83283991e-01   0.00000000e+00   0.00000000e+00]]"
40,[-0.29179877 -0.31319767],-0.207024243053,-1.44715,"[-0.89589143 -0.87054607  1.3317213  -0.27596131 -0.53424824  1.62527453
 -1.58497752 -0.34935379  0.2094795  -1.35598094  0.        ]",[-1.86324859  0.58507496],[-2.12681735  1.36938551],"[[ -4.81074077e+01   3.01794140e+00  -6.17390861e-02   1.84300120e-01]
 [ -1.06488708e+02  -4.45528468e-01   0.00000000e+00   0.00000000e+00]]"
41,[-0.29179877 -0.31319767],-0.177992053939,-1.03954,"[ 1.24723907 -0.86945439  0.11869661 -0.26048565 -0.53424683  1.6252624
 -1.63854032 -0.32165224  0.18942966 -1.14349587  0.        ]",[-1.83705866  0.69926012],[-2.27578896 -0.72734348],"[[ -5.02557549e+01   3.01097714e+00  -6.17390861e-02   1.84300120e-01]
 [ -1.08339851e+02  -2.56265327e-01   0.00000000e+00   0.00000000e+00]]"
42,[-0.29179877 -0.31319767],-0.204450603628,-0.349271,"[-0.91552402 -0.86327842 -1.10877656 -0.18505987 -0.53424543  1.62525026
 -1.69103935 -0.74351612  0.38267962 -1.26993234  0.        ]",[-1.79432034  0.85410523],[-1.68587437 -1.20040655],"[[ -5.24407575e+01   2.97693557e+00  -6.17390861e-02   1.84300120e-01]
 [ -1.10154280e+02  -3.13862004e+00   0.00000000e+00   0.00000000e+00]]"
43,[-0.29179877 -0.31319767],-0.20236749393,-1.78585,"[-0.56057108 -0.83638608  1.50566036  0.03800288 -0.53424402  1.62523812
 -1.74247403 -1.31558338  0.07938283 -1.35368512  0.        ]",[-1.92154408  1.08892691],[-2.59888982  0.68186903],"[[ -5.46616816e+01   2.87495613e+00  -6.17390861e-02   1.84300120e-01]
 [ -1.11931975e+02  -7.04725349e+00   0.00000000e+00   0.00000000e+00]]"
44,[-0.29179877 -0.31319767],-0.163442903457,-0.950951,"[ 1.15441728 -0.7923437  -0.42760989  0.27713005 -0.53424261  1.62522598
 -1.79286035 -0.90260316  0.33573579 -0.96602324  0.        ]",[-1.85631275  1.09533   ],[-2.65674799  1.27901035],"[[ -5.69177938e+01   2.76233209e+00  -6.17390861e-02   1.84300120e-01]
 [ -1.13673492e+02  -4.22563285e+00   0.00000000e+00   0.00000000e+00]]"
45,[-0.29179877 -0.31319767],-0.239068493896,-0.485723,"[-1.35378599 -0.77107222 -0.57892666  0.36820197 -0.5342412   1.62521384
 -1.84227334 -0.31413561  0.39289816 -1.53521333  0.        ]",[-1.81458032  0.77149493],[-2.36427347 -0.18925825],"[[ -5.92083973e+01   2.71816478e+00  -6.17390861e-02   1.84300120e-01]
 [ -1.15381423e+02  -2.04997037e-01   0.00000000e+00   0.00000000e+00]]"
46,[-0.29179877 -0.31319767],-0.172456897183,-2.04561,"[ 0.23844356 -0.76500409  1.52463292  0.39227671 -0.53423979  1.6252017
 -1.89072781 -0.42678477 -0.04754598 -1.15461775  0.        ]",[-1.8892864   0.83716941],[-1.26194152  1.64827135],"[[ -6.15328308e+01   2.70634474e+00  -6.17390861e-02   1.84300120e-01]
 [ -1.17056282e+02  -9.74665851e-01   0.00000000e+00   0.00000000e+00]]"
47,[-0.29179877 -0.31319767],-0.190408716387,-0.834232,"[ 0.54414161 -0.77525963 -1.18081692  0.3511061  -0.53423838  1.62518956
 -1.93823732  0.15187953  0.50764349 -1.08503105  0.        ]",[-1.79215491  0.68018782],[-0.78530272  1.38254142],"[[ -6.38904309e+01   2.72651899e+00  -6.17390861e-02   1.84300120e-01]
 [ -1.18698539e+02   2.97898340e+00   0.00000000e+00   0.00000000e+00]]"
48,[-0.29179877 -0.31319767],-0.225431355197,-0.927358,"[-1.44979389 -0.81867004  0.53808225  0.14516906 -0.53423697  1.62517743
 -1.96024389  0.71950892  0.21257845 -1.49284308  0.        ]",[-1.78506875  0.24441388],[-1.58816408  1.30400043],"[[ -6.62720362e+01   2.82500150e+00  -6.17390861e-02   1.84300120e-01]
 [ -1.19459612e+02   6.85724345e+00   0.00000000e+00   0.00000000e+00]]"
49,[-0.29179877 -0.31319767],-0.180311602812,-1.16286,"[ 1.11724898 -0.86765699  0.72941048 -0.23690309 -0.53423557  1.62516529
 -2.00642199  0.98530943  0.15309414 -1.17228271  0.        ]",[-1.79237044  0.12753537],[-1.09725421 -0.37475944],"[[ -6.86772452e+01   3.00034817e+00  -6.17390861e-02   1.84300120e-01]
 [ -1.21055945e+02   8.67331198e+00   0.00000000e+00   0.00000000e+00]]"
