timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
10,"[-0.57980425  0.72709575  1.54284626  1.64681508 -0.97740987  1.19100962
  0.02508935  0.09987967 -0.39020348 -0.28019808  0.        ]",[ 0.3149558  -0.05620119],-0.0112044878294,-0.0112044878294,"[[ 1.56677572  1.32827074 -0.11243874  0.13620037]
 [-2.40789403  2.94261123  0.          0.        ]]",[-0.22935538 -0.29722205],[-0.3993147  -0.69455355]
11,"[-0.52548735  0.65760737  1.54169158  1.67927627 -0.97740821  1.19100713
  0.15284113  0.05677045 -0.36320465 -0.30375395  0.        ]",[-0.21802656 -0.70906907],-0.0148209166362,-0.0148209166362,"[[ 1.53160132  1.38430267 -0.11243874  0.13620037]
 [-1.1138471   2.66152536  0.          0.        ]]",[-0.22935538 -0.29722205],[-0.59223354 -0.79439807]
12,"[-0.47812863  0.6269358   1.53915335  1.69084818 -0.97740656  1.19100464
  0.06989718 -0.38188079 -0.33405719 -0.29872945  0.        ]",[-0.88671869  0.95688158],-0.0166635268135,-0.0166635268135,"[[ 1.50089477  1.4088364  -0.11243874  0.13620037]
 [-1.95401614 -0.19862405  0.          0.        ]]",[-0.22935538 -0.29722205],[-0.17035216 -0.30021554]
13,"[-0.36464426  0.58411882  1.52722162  1.70424317 -0.97740491  1.19100215
 -0.27278933  0.1999057  -0.25764855 -0.26342952  0.        ]",[-0.33966002  0.8404771 ],-0.0221874545935,-0.0221874545935,"[[ 1.42698707  1.44292493 -0.11243874  0.13620037]
 [-5.42521257  3.59480904  0.          0.        ]]",[-0.22935538 -0.29722205],[ 0.383306   -0.53350794]
14,"[-0.18185824  0.45181224  1.49011513  1.72572496 -0.97740326  1.19099966
 -0.39496922  0.69939751 -0.14597606 -0.27080906  0.        ]",[ 0.88979813 -0.1418551 ],-0.0341918756418,-0.0341918756418,"[[ 1.30606561  1.54749829 -0.11243874  0.13620037]
 [-6.66281929  6.85165679  0.          0.        ]]",[-0.22935538 -0.29722205],[ 0.63627887 -0.8799119 ]
15,"[-0.03994969  0.28701271  1.44510547  1.71096675 -0.97740161  1.19099717
 -0.03429507  0.59234154 -0.07168351 -0.33737264  0.        ]",[ 1.25467663 -1.5800207 ],-0.0439596330376,-0.0439596330376,"[[ 1.2094642   1.67752738 -0.11243874  0.13620037]
 [-3.00942802  6.15362337  0.          0.        ]]",[-0.22935538 -0.29722205],[ 0.0845401  -1.05817127]
16,"[-0.01134221  0.18393908  1.4341887   1.67805226 -0.97739996  1.19099468
  0.36237467 -0.0336998  -0.06865237 -0.41294014  0.        ]",[-0.97625324  0.10081452],-0.0472883377427,-0.0472883377427,"[[ 1.18958937  1.75964381 -0.11243874  0.13620037]
 [ 1.00857529  2.07164313  0.          0.        ]]",[-0.22935538 -0.29722205],[-0.41746259 -0.94843209]
17,"[ 0.01550559  0.12805276  1.423353    1.65233027 -0.9773983   1.19099219
 -0.02106283  0.02130524 -0.05760102 -0.44925869  0.        ]",[ 0.90907008 -1.34108607],-0.0501094485713,-0.0501094485713,"[[ 1.17079209  1.80467525 -0.11243874  0.13620037]
 [-2.87538797  2.43029257  0.          0.        ]]",[-0.22935538 -0.29722205],[ 0.29615512 -0.75258708]
18,"[ 0.04500981  0.11770188  1.41077009  1.64693801 -0.97739665  1.1909897
  0.3398178  -0.59341263 -0.03814965 -0.44397489  0.        ]",[ 0.03953072 -0.59622077],-0.0517039948714,-0.0517039948714,"[[ 1.14996083  1.81306599 -0.11243874  0.13620037]
 [ 0.78008939 -1.57785266  0.          0.        ]]",[-0.22935538 -0.29722205],[-0.08060858 -0.5061239 ]
19,"[ 0.02092392  0.18581957  1.42108901  1.67880377 -0.977395    1.19098721
  0.35376969 -0.95069131 -0.04487398 -0.39524179  0.        ]",[-0.21230145 -0.00776556],-0.0488619004899,-0.0488619004899,"[[ 1.1669805   1.75813559 -0.11243874  0.13620037]
 [ 0.92141583 -3.90742325  0.          0.        ]]",[-0.22935538 -0.29722205],[ 0.05571124 -0.12199201]
