timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
10,-0.0037829128106,[-0.993888   -0.57392068],-0.0037829128106,"[-0.23551065  1.14153044  1.44318193  0.25191458 -0.34424437  1.69990375
  0.4416391   0.25806762 -0.37307489 -0.18833826  0.        ]","[[ 1.41991842  0.6353955  -0.03986961  0.19713025]
 [ 1.64943766  3.3879357   0.          0.        ]]",[-0.66663533 -0.5461064 ],[-0.75953043 -0.7851845 ]
11,-0.00310645209706,[ 1.0743004   0.02039387],-0.00310645209706,"[-0.22537357  1.10659142  1.44165879  0.34367896 -0.34424419  1.69990063
 -0.0384124  -0.14589345 -0.40330104 -0.21527364  0.        ]","[[ 1.41313669  0.67969427 -0.03986961  0.19713025]
 [-2.31443566  1.04972491  0.          0.        ]]",[-0.66663533 -0.5461064 ],[ 0.80417562  0.02066949]
12,-0.00398033700472,[-0.89866941 -1.11567297],-0.00398033700472,"[-0.21621232  1.0888506   1.44022355  0.38722819 -0.344244    1.69989752
  0.44626068 -0.13576738 -0.41203612 -0.22754056  0.        ]","[[ 1.40700151  0.70127676 -0.03986961  0.19713025]
 [ 1.68759893  1.10833631  0.          0.        ]]",[-0.66663533 -0.5461064 ],[-0.68256956 -0.44952562]
13,-0.00351736023006,[ 1.97038151  1.40882671],-0.00351736023006,"[-0.21286714  1.10348854  1.43968428  0.3514295  -0.34424382  1.6998944
  0.01180014 -0.82342831 -0.39038016 -0.21380846  0.        ]","[[ 1.40475979  0.68350762 -0.03986961  0.19713025]
 [-1.89981821 -2.87198773  0.          0.        ]]",[-0.66663533 -0.5461064 ],[ 1.15461946  1.03411961]
14,-0.00383399148382,[-0.79637289 -0.68256586],-0.00383399148382,"[-0.21594291  1.11732092  1.44017642  0.31637248 -0.34424364  1.69989129
  0.4953153  -0.12976181 -0.37753054 -0.20292491  0.        ]","[[ 1.40682114  0.66635246 -0.03986961  0.19713025]
 [ 2.09265219  1.14309301  0.          0.        ]]",[-0.66663533 -0.5461064 ],[-0.74334824 -0.36449835]
15,-0.00279798105005,[ 1.64655948  0.94273675],-0.00279798105005,"[-0.23063357  1.12087629  1.44244824  0.30715681 -0.34424346  1.69988817
  0.10884999 -0.60041292 -0.39284715 -0.20462508  0.        ]","[[ 1.41665685  0.66188131 -0.03986961  0.19713025]
 [-1.09845691 -1.58113115  0.          0.        ]]",[-0.66663533 -0.5461064 ],[ 0.68491381  0.63080597]
16,-0.00399401537915,[-1.27473802 -1.42518083],-0.00399401537915,"[-0.25747088  1.11599339  1.4462322   0.31978424 -0.34424328  1.69988505
  0.5904542   0.04966585 -0.43443955 -0.21814428  0.        ]","[[ 1.43458691  0.66801191 -0.03986961  0.19713025]
 [ 2.87823187  2.18165266  0.          0.        ]]",[-0.66663533 -0.5461064 ],[-1.22969174 -0.78213751]
17,-0.00734027467146,[ 0.60004914  1.00249224],-0.00734027467146,"[-0.28344728  1.11319975  1.44944468  0.32693626 -0.3442431   1.69988194
  0.10459496 -0.64164101 -0.47217862 -0.23052272  0.        ]","[[ 1.45189987  0.67149742 -0.03986961  0.19713025]
 [-1.13358667 -1.81976791  0.          0.        ]]",[-0.66663533 -0.5461064 ],[ 0.53373122  0.52449489]
18,-0.00798778493367,[-1.10363021 -0.32501767],-0.00798778493367,"[-0.28548715  1.11023238  1.44967635  0.33447756 -0.34424292  1.69987882
  0.39464729  0.04852193 -0.47830102 -0.2340323   0.        ]","[[ 1.45325792  0.67518313 -0.03986961  0.19713025]
 [ 1.26142337  2.17502797  0.          0.        ]]",[-0.66663533 -0.5461064 ],[-0.81800759 -0.77213597]
19,-0.00863833918082,[ 0.79671023  0.3241848 ],-0.00863833918082,"[-0.26340591  1.08544023  1.44699927  0.3953644  -0.34424273  1.69987571
 -0.08745253 -0.18102418 -0.47812949 -0.24812064  0.        ]","[[ 1.43854624  0.70535294 -0.03986961  0.19713025]
 [-2.71935032  0.84637111  0.          0.        ]]",[-0.66663533 -0.5461064 ],[ 0.80015403 -0.07702407]
20,-0.00811764100554,[-0.50196491 -0.67165342],-0.00811764100554,"[-0.23012903  1.06022324  1.44236209  0.45365416 -0.34424255  1.69987259
  0.30074347  0.03766329 -0.46252593 -0.25787682  0.        ]","[[ 1.4163198   0.73498049 -0.03986961  0.19713025]
 [ 0.48604431  2.11217515  0.          0.        ]]",[-0.66663533 -0.5461064 ],[-0.48363224 -0.7516396 ]
21,-0.00815646220393,[-0.17796617 -0.38405853],-0.00815646220393,"[-0.21475789  1.04700438  1.43997222  0.48286297 -0.34424237  1.69986948
  0.05917566 -0.4289129  -0.45674572 -0.26377997  0.        ]","[[ 1.40602773  0.75012773 -0.03986961  0.19713025]
 [-1.50861667 -0.58845515  0.          0.        ]]",[-0.66663533 -0.5461064 ],[ 0.5772506   0.13334009]
22,-0.00634891969119,[ 1.30213496 -0.47710142],-0.00634891969119,"[-0.15982819  1.0703324   1.43014813  0.43069699 -0.34424219  1.69986636
 -0.02241777 -0.68959012 -0.35840676 -0.22500951  0.        ]","[[ 1.36909562  0.72321985 -0.03986961  0.19713025]
 [-2.18234553 -2.0973051   0.          0.        ]]",[-0.66663533 -0.5461064 ],[ 1.25178838  0.85336554]
23,-0.0116736552367,[ 0.53397125  1.66533285],-0.0116736552367,"[-0.15462415  1.12019964  1.42911012  0.30889132 -0.34424201  1.69986325
  0.46202274 -1.00902564 -0.29124022 -0.18339328  0.        ]","[[ 1.36558303  0.66272257 -0.03986961  0.19713025]
 [ 1.81775004 -3.94626108  0.          0.        ]]",[-0.66663533 -0.5461064 ],[ 0.12667882  1.13078988]
