timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
10,"[  1.00822421e+00  -1.00012768e+00  -1.33508555e-01  -5.38052404e-01
  -2.36333228e-01   1.95581404e-03   1.71553119e-01   2.06227076e+00
  -2.14876386e-01   1.40898780e-01   0.00000000e+00]",[ 0.6856551   0.39755526],-0.0341046023209,-0.0341046023209,"[[ -1.40075766e-01   2.91289779e+00  -2.63263594e-02   2.72867989e-04]
 [ -1.59472624e+00   1.47984200e+01   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.51814121 -0.01543748]
11,"[ 1.00730298 -1.0328213  -0.13991503 -1.10821226 -0.2363331   0.00195581
  0.43163882  0.13512013 -0.27436262 -0.15367336  0.        ]",[ 0.31351759  0.08590627],-0.0163733939881,-0.0163733939881,"[[ -1.44418362e-01   3.13391325e+00  -2.63263594e-02   2.72867989e-04]
 [  1.15108424e+00   2.86260360e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.00357479  0.40797621]
12,"[ 1.01396315 -1.03254978 -0.08781357 -1.07062879 -0.23633297  0.00195581
  0.54703563 -0.72152914 -0.2717981  -0.12710875  0.        ]",[ 0.60865536  1.30003981],-0.0168861101193,-0.0168861101193,"[[ -1.09174088e-01   3.11947429e+00  -2.63263594e-02   2.72867989e-04]
 [  2.36936851e+00  -2.44305859e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[-0.06196876  0.55555475]
13,"[ 1.02177724 -1.02972042  0.01783339 -0.94445205 -0.23633284  0.00195581
  0.77085701 -0.66930319 -0.2693497  -0.06879958  0.        ]",[-0.60545802  0.86183865],-0.0186111172164,-0.0186111172164,"[[ -3.80785090e-02   3.07094694e+00  -2.63263594e-02   2.72867989e-04]
 [  4.73232692e+00  -2.11960030e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[-0.44117695  0.29079556]
14,"[ 1.02211455 -1.02605214  0.12162143 -0.8577514  -0.23633271  0.00195581
  0.5349218  -0.52729218 -0.27244436 -0.03247045  0.        ]",[-0.1301258  -1.29223406],-0.0198036839591,-0.0198036839591,"[[  3.15766505e-02   3.03751213e+00  -2.63263594e-02   2.72867989e-04]
 [  2.24148996e+00  -1.24005745e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[-0.00211792  0.51962465]
15,"[ 1.01911504 -1.0150786   0.17998255 -0.69199138 -0.23633258  0.00195581
  0.48190124 -1.16264489 -0.27213175  0.04683993  0.        ]",[-0.50910675  1.35600935],-0.0241304639232,-0.0241304639232,"[[  7.07902514e-02   2.97322920e+00  -2.63263594e-02   2.72867989e-04]
 [  1.68173897e+00  -5.17512072e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.23622949  0.96780187]
16,"[ 1.01760386 -0.99942906  0.19941529 -0.53192351 -0.23633245  0.00195581
  0.28783515 -0.50680188 -0.26685311  0.12695523  0.        ]",[ 0.17706515  2.02971881],-0.0297055823151,-0.0297055823151,"[[  8.38686459e-02   2.91048175e+00  -2.63263594e-02   2.72867989e-04]
 [ -3.67073274e-01  -1.11316090e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.43616682  0.88870001]
17,"[ 1.01763194 -1.00432919  0.19906897 -0.57682938 -0.23633233  0.00195581
  0.35494254  0.13607479 -0.2693033   0.10404366  0.        ]",[ 0.09388145  0.68741786],-0.0279973420294,-0.0279973420294,"[[  8.36355217e-02   2.92816776e+00  -2.63263594e-02   2.72867989e-04]
 [  3.41401419e-01   2.86849287e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.2408856   0.55578768]
18,"[ 1.01623902 -1.0223544   0.21464205 -0.79250885 -0.2363322   0.00195581
  0.38951754  0.37549523 -0.2781624  -0.00693869  0.        ]",[-0.72084259  0.65037083],-0.0205763380225,-0.0205763380225,"[[  9.41264088e-02   3.01227760e+00  -2.63263594e-02   2.72867989e-04]
 [  7.06422157e-01   4.35134279e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.10175111  0.32551044]
19,"[ 1.0181362  -1.02657077  0.1928912  -0.86834479 -0.23633207  0.0019558
  0.11783681 -0.35462799 -0.27743902 -0.046146    0.        ]",[ 1.31594107  1.94973039],-0.018737779727,-0.018737779727,"[[  7.94766384e-02   3.04160381e+00  -2.63263594e-02   2.72867989e-04]
 [ -2.16178827e+00  -1.70668652e-01   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.49373043  0.8163377 ]
20,"[ 1.01849377 -1.0250826   0.18831208 -0.83929241 -0.23633194  0.0019558
  0.49691796 -0.43836477 -0.27678216 -0.0290367   0.        ]",[ 0.52112926  1.21945331],-0.0195786935366,-0.0195786935366,"[[  7.63948241e-02   3.03038106e+00  -2.63263594e-02   2.72867989e-04]
 [  1.84028110e+00  -6.89292913e-01   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.04659206  0.49994242]
21,"[ 1.00954541 -1.02330997  0.27299275 -0.80814467 -0.23633181  0.0019558
  0.68890638 -0.40529045 -0.28291378 -0.01994981  0.        ]",[-0.17163842 -0.37822419],-0.0194978395652,-0.0194978395652,"[[  1.33536785e-01   3.01833318e+00  -2.63263594e-02   2.72867989e-04]
 [  3.86716142e+00  -4.84449148e-01   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[-0.33388013  0.23803629]
22,"[ 0.99207145 -1.01912605  0.37546139 -0.74464612 -0.23633168  0.0019558
  0.61727844 -0.64555237 -0.29229206  0.00290001  0.        ]",[-0.70174219  1.1208873 ],-0.0199871191768,-0.0199871191768,"[[  2.03292902e-01   2.99371399e+00  -2.63263594e-02   2.72867989e-04]
 [  3.11097031e+00  -1.97250966e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[-0.19297929  0.35524642]
23,"[  9.81062277e-01  -1.01924846e+00   4.24509857e-01  -7.46366058e-01
  -2.36331553e-01   1.95580092e-03   3.48287052e-01   4.84067563e-05
  -2.96601475e-01  -2.81150801e-03   0.00000000e+00]",[ 0.36913826  0.71266202],-0.0193213863381,-0.0193213863381,"[[  2.37019537e-01   2.99438220e+00  -2.63263594e-02   2.72867989e-04]
 [  2.71157736e-01   2.02600522e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.12495571  0.37580797]
