timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
36,-0.609035,"[ 0.95534933 -0.44786272 -1.22151322 -0.24384649 -0.74346313 -0.81648403
  1.90878842 -0.3702172   0.52325258  0.877865    0.        ]",[ 1.94113515  4.19446565],-0.143316992388,[ 1.69932413  4.34895563],[-0.68951797 -0.20869109],"[[  3.69620372e+01   3.00399423e+00  -8.54303261e-02  -9.51889055e-02]
 [  9.69821854e+01  -1.18441151e-05   0.00000000e+00   0.00000000e+00]]"
37,-0.389831,"[ 0.40212771 -0.4478625   1.17369186 -0.24384541 -0.74346277 -0.8164836
  1.95362677 -0.37021709  0.36436645  0.70774524  0.        ]",[ 2.13206615  5.61123538],-0.11444228375,[ 1.87489605  4.85956097],[-0.68951797 -0.20869109],"[[  3.89221428e+01   3.00399399e+00  -8.54303261e-02  -9.51889055e-02]
 [  9.90215722e+01  -1.19663441e-05   0.00000000e+00   0.00000000e+00]]"
38,-0.368694,"[-1.44929346 -0.44786228 -0.34456803 -0.24384432 -0.74346241 -0.81648318
  1.9975772  -0.37021696  0.57424658  0.61616641  0.        ]",[ 1.56039731  5.67606365],-0.125222793931,[ 1.58019364  5.21292925],[-0.68951797 -0.20869109],"[[  4.09226310e+01   3.00399375e+00  -8.54303261e-02  -9.51889055e-02]
 [  1.01020586e+02  -1.20326498e-05   0.00000000e+00   0.00000000e+00]]"
39,-0.594359,"[ 0.65533505 -0.44786206 -1.48858388 -0.24384322 -0.74346205 -0.81648276
  2.0406573  -0.37021684  0.55889957  0.864079    0.        ]",[ 2.43933108  4.64903124],-0.144979796253,[ 1.68272591  4.47848892],[-0.68951797 -0.20869109],"[[  4.29627024e+01   3.00399351e+00  -8.54303261e-02  -9.51889055e-02]
 [  1.02980027e+02  -1.20635830e-05   0.00000000e+00   0.00000000e+00]]"
40,-0.409328,"[ 0.6079807  -0.44786184  1.07246933 -0.24384213 -0.74346169 -0.81648233
  2.08288427 -0.37021671  0.362034    0.7314579   0.        ]",[ 1.66378678  5.88508492],-0.116569308761,[ 1.87534332  4.8563385 ],[-0.68951797 -0.20869109],"[[  4.50415735e+01   3.00399327e+00  -8.54303261e-02  -9.51889055e-02]
 [  1.04900678e+02  -1.20723779e-05   0.00000000e+00   0.00000000e+00]]"
41,-0.395383,"[-1.45310858 -0.44786162 -0.27436387 -0.24384103 -0.74346133 -0.81648191
  2.12427501 -0.37021657  0.56897436  0.61230133  0.        ]",[ 1.15261476  4.85489065],-0.124396966483,[ 1.58113766  5.27451706],[-0.68951797 -0.20869109],"[[  4.71584761e+01   3.00399303e+00  -8.54303261e-02  -9.51889055e-02]
 [  1.06783307e+02  -1.20662139e-05   0.00000000e+00   0.00000000e+00]]"
42,-0.623729,"[ 0.73240112 -0.4478614  -1.43385281 -0.24383994 -0.74346097 -0.81648148
  2.16484605 -0.37021644  0.55082181  0.86831462  0.        ]",[ 2.10195598  3.31358589],-0.144692882696,[ 1.69085538  4.51628351],[-0.68951797 -0.20869109],"[[  4.93126573e+01   3.00399279e+00  -8.54303261e-02  -9.51889055e-02]
 [  1.08628666e+02  -1.20487927e-05   0.00000000e+00   0.00000000e+00]]"
43,-0.400002,"[ 0.38272989 -0.44786119  1.18106416 -0.24383884 -0.74346061 -0.81648106
  2.20461361 -0.37021631  0.36475227  0.70561753  0.        ]",[ 1.29475598  5.7086973 ],-0.114267108108,[ 1.86084032  4.9662075 ],[-0.68951797 -0.20869109],"[[  5.15033792e+01   3.00399255e+00  -8.54303261e-02  -9.51889055e-02]
 [  1.10437494e+02  -1.20220656e-05   0.00000000e+00   0.00000000e+00]]"
44,-0.416063,"[-1.3824197  -0.44786097 -0.69432499 -0.24383775 -0.74346025 -0.81648063
  2.2435936  -0.37021617  0.59813671  0.63974496  0.        ]",[ 2.416832    5.16288271],-0.129437523124,[ 1.56237245  5.28034258],[-0.68951797 -0.20869109],"[[  5.37299183e+01   3.00399231e+00  -8.54303261e-02  -9.51889055e-02]
 [  1.12210514e+02  -1.19871565e-05   0.00000000e+00   0.00000000e+00]]"
45,-0.613115,"[ 1.10534247 -0.44786075 -1.00847992 -0.24383667 -0.74345989 -0.81648021
  2.2818016  -0.37021603  0.4992454   0.88077135  0.        ]",[ 2.5612651   4.27623528],-0.14167180732,[ 1.70929611  4.49438667],[-0.68951797 -0.20869109],"[[  5.59915657e+01   3.00399207e+00  -8.54303261e-02  -9.51889055e-02]
 [  1.13948434e+02  -1.19448088e-05   0.00000000e+00   0.00000000e+00]]"
46,-0.364256,"[-0.30132911 -0.44786053  1.24167061 -0.24383558 -0.74345953 -0.81647979
  2.31925289 -0.3702159   0.39394823  0.64063317  0.        ]",[ 1.54473117  4.97815898],-0.110540790649,[ 1.79781342  5.14317369],[-0.68951797 -0.20869109],"[[  5.82876263e+01   3.00399183e+00  -8.54303261e-02  -9.51889055e-02]
 [  1.15651949e+02  -1.18955890e-05   0.00000000e+00   0.00000000e+00]]"
47,-0.507732,"[-0.90036846 -0.44786031 -1.41136293 -0.2438345  -0.74345917 -0.81647936
  2.35596243 -0.37021576  0.63001522  0.71932699  0.        ]",[ 1.37730482  4.40430493],-0.138884294891,[ 1.58242738  5.12264776],[-0.68951797 -0.20869109],"[[  6.06174189e+01   3.00399159e+00  -8.54303261e-02  -9.51889055e-02]
 [  1.17321741e+02  -1.18399767e-05   0.00000000e+00   0.00000000e+00]]"
48,-0.614109,"[ 1.29944162 -0.44786009 -0.00330018 -0.24383343 -0.74345881 -0.81647894
  2.3919449  -0.37021562  0.41143323  0.84797916  0.        ]",[ 1.92710644  3.50344566],-0.131759447005,[ 1.77131259  4.62708426],[-0.68951797 -0.20869109],"[[  6.29802756e+01   3.00399135e+00  -8.54303261e-02  -9.51889055e-02]
 [  1.18958477e+02  -1.17784044e-05   0.00000000e+00   0.00000000e+00]]"
49,-0.338586,"[-1.21378453 -0.44785987  0.61328019 -0.24383236 -0.74345845 -0.81647851
  2.4272147  -0.37021548  0.48806166  0.58949018  0.        ]",[ 0.74996372  5.2399691 ],-0.114660158677,[ 1.662714    5.40222168],[-0.68951797 -0.20869109],"[[  6.53755419e+01   3.00399112e+00  -8.54303261e-02  -9.51889055e-02]
 [  1.20562811e+02  -1.17112735e-05   0.00000000e+00   0.00000000e+00]]"
