timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
10,-0.207504587314,[-0.97904899  1.53059352],-0.207504587314,[ 0.08889228  1.45206904],"[[ 0.8213859   3.22101583 -0.15873529 -0.14635025]
 [ 6.50533878  1.3226734   0.          0.        ]]","[ 0.48243594 -0.75869279  1.17337942 -1.1495637  -1.35967053 -1.25429065
  0.8822931  -0.16048147  0.95450749  1.10384376  0.        ]",[-0.18927327 -0.28017133]
11,-0.206821321612,[-0.62116826  2.23927117],-0.206821321612,[ 0.0178062   1.43203831],"[[ 0.91130456  3.1731619  -0.15873529 -0.14635025]
 [ 2.49997113 -3.97442803  0.          0.        ]]","[ 0.37996029 -0.76206891  1.26282343 -1.01171462 -1.3596663  -1.25428713
  0.51343166 -0.94740613  0.91938816  1.13973977  0.        ]",[-0.18927327 -0.28017133]
12,-0.205324668081,[ 0.40964169  0.73940909],-0.205324668081,[ 0.10934085  1.45134807],"[[ 0.93613177  3.09917383 -0.15873529 -0.14635025]
 [-0.00887438 -3.1056712   0.          0.        ]]","[ 0.35032406 -0.76155696  1.28581712 -0.79828782 -1.35966207 -1.2542836
  0.28238753 -0.81834387  0.8637354   1.18670854  0.        ]",[-0.18927327 -0.28017133]
13,-0.2046587316,[ 0.06897281  4.05513616],-0.2046587316,[ 0.12938333  1.44890046],"[[ 0.95222969  3.05089687 -0.15873529 -0.14635025]
 [ 1.61325688 -1.76773805  0.          0.        ]]","[ 0.3308145  -0.75747017  1.30031807 -0.65931551 -1.35965784 -1.25428008
  0.43177191 -0.61958221  0.82901591  1.21743552  0.        ]",[-0.18927327 -0.28017133]
14,-0.204113171996,[ 0.89701311  1.75528195],-0.204113171996,[ 0.14295352  1.45202613],"[[ 0.98691476  3.02550437 -0.15873529 -0.14635025]
 [ 1.8544427  -0.86201179  0.          0.        ]]","[ 0.28802168 -0.75413401  1.33045919 -0.58644302 -1.35965361 -1.25427655
  0.45398256 -0.48502855  0.81123303  1.22979007  0.        ]",[-0.18927327 -0.28017133]
15,-0.203179813865,[-0.37091328  1.99059868],-0.203179813865,[ 0.04666337  1.4354794 ],"[[ 1.05926922  3.01348379 -0.15873529 -0.14635025]
 [ 5.36928731 -0.39535486  0.          0.        ]]","[ 0.19562235 -0.75226967  1.38833476 -0.55201771 -1.35964938 -1.25427303
  0.77767004 -0.41570227  0.80297378  1.22641669  0.        ]",[-0.18927327 -0.28017133]
16,-0.202075585135,[ 1.40701688  1.88036836],-0.202075585135,[ 0.04491621  1.43315029],"[[ 1.15085412  3.00807102 -0.15873529 -0.14635025]
 [ 3.79444907 -0.17439109  0.          0.        ]]","[ 0.07323289 -0.7513699   1.45150423 -0.53653294 -1.35964515 -1.2542695
  0.63263911 -0.38287577  0.80009765  1.21491553  0.        ]",[-0.18927327 -0.28017133]
17,-0.200873353116,[ 0.52309682  0.92400219],-0.200873353116,[-0.11886948  1.3710587 ],"[[ 1.26571432  3.00571317 -0.15873529 -0.14635025]
 [ 7.67862623 -0.07487033  0.          0.        ]]","[-0.08736056 -0.75096567  1.51405129 -0.52979071 -1.35964092 -1.25426598
  0.99033874 -0.36809066  0.80128159  1.19760092  0.        ]",[-0.18927327 -0.28017133]
18,-0.199490431659,[ 0.92603785  0.60192593],-0.199490431659,[-0.30596322  1.3010571 ],"[[ 1.43854163  3.00462935 -0.15873529 -0.14635025]
 [ 9.59770972 -0.03708614  0.          0.        ]]","[-0.33946828 -0.75077682  1.57158085 -0.5266919  -1.35963669 -1.25426245
  1.16706803 -0.36247704  0.80845312  1.17094933  0.        ]",[-0.18927327 -0.28017133]
19,-0.198466035564,[-1.163725    1.93689259],-0.198466035564,[-0.6137808   1.17238259],"[[  1.66537618   3.00376832  -0.15873529  -0.14635025]
 [ 13.07416046  -0.04077086   0.           0.        ]]","[-0.67806418 -0.75062547  1.57812598 -0.52423022 -1.35963246 -1.25425893
  1.48721611 -0.36302399  0.82439595  1.13846363  0.        ]",[-0.18927327 -0.28017133]
20,-0.198417278739,[-0.54268868  0.93534398],-0.198417278739,[-0.4236553   1.24608707],"[[  1.88453773e+00   3.00353068e+00  -1.58735289e-01  -1.46350255e-01]
 [  8.85605083e+00   4.16583705e-03   0.00000000e+00   0.00000000e+00]]","[-0.99851394 -0.75058261  1.50998262 -0.52355035 -1.35962823 -1.25425541
  1.09875983 -0.3563478   0.84617928  1.11154375  0.        ]",[-0.18927327 -0.28017133]
21,-0.198953345445,[ 0.27947286  0.58003182],-0.198953345445,[-0.36017135  1.27354789],"[[  2.03834150e+00   3.00361688e+00  -1.58735289e-01  -1.46350255e-01]
 [  6.53207092e+00   3.85273796e-03   0.00000000e+00   0.00000000e+00]]","[-1.21108246 -0.75059642  1.42007795 -0.52379596 -1.359624   -1.25425188
  0.88473848 -0.35639388  0.86463739  1.09618101  0.        ]",[-0.18927327 -0.28017133]
