timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
40,-0.218439189259,[ 3.638831    1.20563982],-0.559853,"[[  49.77821696    3.00511036    0.17051093   -0.11794068]
 [ 110.11513532   -0.33962923    0.            0.        ]]","[ 1.12293103 -0.46672775 -0.76679889 -0.28215136  1.48025365 -1.02767493
  1.11883174 -0.41493772 -1.3996557   0.9877077   0.        ]",[ 3.23763704  0.70009392],[-0.59029096 -0.42742014]
41,-0.212810685611,[ 3.01442676 -0.2457344 ],-1.40792,"[[  5.19983729e+01   3.00232455e+00   1.70510934e-01  -1.17940683e-01]
 [  1.11894532e+02  -2.10127036e-02   0.00000000e+00   0.00000000e+00]]","[-0.32851663 -0.46614129  1.35001484 -0.27095796  1.48025215 -1.02767426
  1.16530653 -0.37375804 -1.49541666  0.75720143  0.        ]",[ 3.10288191  0.56370568],[-0.59029096 -0.42742014]
42,-0.190134755781,[ 3.40341765  1.46543985],-0.586449,"[[  54.25376249    2.99206939    0.17051093   -0.11794068]
 [ 113.63859186   -1.00137095    0.            0.        ]]","[-1.02449189 -0.46388151 -1.17540751 -0.22979122  1.48025064 -1.02767359
  1.21085828 -0.50046411 -1.25699778  0.81331979  0.        ]",[ 3.42211294  1.13212359],[-0.59029096 -0.42742014]
43,-0.222950175447,[ 2.89439015 -0.1414566 ],-0.744102,"[[  56.54368969    3.00537077    0.17051093   -0.11794068]
 [ 115.34844244    1.46299072    0.            0.        ]]","[ 1.28456401 -0.46678141 -0.09290895 -0.28319768  1.48024914 -1.02767291
  1.25551645 -0.18195789 -1.46056579  0.96212978  0.        ]",[ 3.1726737   0.50019026],[-0.59029096 -0.42742014]
44,-0.202008183992,[ 3.39736513  0.4473198 ],-1.42843,"[[  5.88674725e+01   3.01451722e+00   1.70510934e-01  -1.17940683e-01]
 [  1.17024235e+02  -1.14370486e-01   0.00000000e+00   0.00000000e+00]]","[-1.04909266 -0.46861971  0.98073142 -0.31997873  1.48024763 -1.02767224
  1.29928497 -0.38582369 -1.42263962  0.71843182  0.        ]",[ 3.18973184  0.77594835],[-0.59029096 -0.42742014]
45,-0.200666528831,[ 3.56815819  1.90047127],-0.270754,"[[  6.12244378e+01   3.01030166e+00   1.70510934e-01  -1.17940683e-01]
 [  1.18666828e+02  -2.33540998e-01   0.00000000e+00   0.00000000e+00]]","[-0.15521133 -0.46778796 -1.53944352 -0.30302082  1.48024613 -1.02767157
  1.34218627 -0.40122573 -1.28236986  0.91600204  0.        ]",[ 3.46239901  1.01256597],[-0.59029096 -0.42742014]
46,-0.223577350319,[ 2.92645921  1.28851124],-1.16854,"[[  6.36139289e+01   3.00691656e+00   1.70510934e-01  -1.17940683e-01]
 [  1.20276919e+02  -1.15988325e-01   0.00000000e+00   0.00000000e+00]]","[ 0.88102722 -0.46710049  0.93957456 -0.28941035  1.48024462 -1.02767089
  1.38423853 -0.3860325  -1.51912147  0.8808168   0.        ]",[ 3.15770721  0.3221485 ],[-0.59029096 -0.42742014]
47,-0.19112378432,[ 3.08832816  1.70011301],-1.15308,"[[  6.60353022e+01   3.00529058e+00   1.70510934e-01  -1.17940683e-01]
 [  1.21855144e+02  -5.37893447e-02   0.00000000e+00   0.00000000e+00]]","[-1.49064735 -0.46676401 -0.17559567 -0.28287497  1.48024311 -1.02767022
  1.42545841 -0.37799345 -1.31860682  0.73248633  0.        ]",[ 3.36237335  1.01579714],[-0.59029096 -0.42742014]
48,-0.216497542513,[ 3.6298268   1.59021461],-0.437996,"[[  6.84879264e+01   3.00455157e+00   1.70510934e-01  -1.17940683e-01]
 [  1.23402131e+02  -2.39066006e-02   0.00000000e+00   0.00000000e+00]]","[ 1.0203014  -0.46660965 -0.93932808 -0.27990505  1.48024161 -1.02766955
  1.46586228 -0.37413112 -1.38119875  0.98743892  0.        ]",[ 3.35515165  0.66741455],[-0.59029096 -0.42742014]
49,-0.210548886292,[ 3.65299099  0.85501029],-1.41209,"[[  7.09711832e+01   3.00422748e+00   1.70510934e-01  -1.17940683e-01]
 [  1.24918494e+02  -1.03246511e-02   0.00000000e+00   0.00000000e+00]]","[-0.49533734 -0.46654159  1.31025988 -0.27860265  1.4802401  -1.02766887
  1.50546621 -0.37237558 -1.48254499  0.74469738  0.        ]",[ 3.18785667  0.5151099 ],[-0.59029096 -0.42742014]
