timestep,logstd_action_dist,avg_action_dist,obs,original_rewards,rewards,actions,human_obs
36,[-0.70324886 -0.55928731],[ 0.8152414   0.72730082],"[ 0.72286136  1.1757256   0.73072767  1.14920615  1.63060891  1.13581719
 -0.10434624  0.27477818 -1.00948103 -0.02930354  0.        ]",-0.0255686127467,-2.01417,[ 0.40065813  0.4339451 ],"[[  6.86854059e-01  -1.27739002e-03   1.87991160e-01   1.31510884e-01]
 [ -1.54669471e+00  -1.19030765e-03   0.00000000e+00   0.00000000e+00]]"
37,[-0.70324886 -0.55928731],[ 0.08761476  0.15760313],"[ 0.73585555  1.17556826  0.71250073  1.1937449   1.63060701  1.13581636
  0.06265136  0.55913236 -1.00134503 -0.04264078  0.        ]",-0.0247739353388,-1.99759,[ 0.92226904  0.4648415 ],"[[ 0.67212273  0.01593244  0.18799116  0.13151088]
 [ 0.06818712  1.71645047  0.          0.        ]]"
38,[-0.70324886 -0.55928731],[-1.78224456 -0.98941654],"[ 0.70190368  1.17282597  0.75900699  1.32933209  1.63060512  1.13581553
  0.43972551  0.85797905 -1.0990199   0.1038817   0.        ]",-0.0355527674584,-2.07394,[-2.00894498 -1.88757684],"[[ 0.71007124  0.0683734   0.18799116  0.13151088]
 [ 3.71452818  3.52163421  0.          0.        ]]"
39,[-0.70324886 -0.55928731],[-0.10358281  0.09555854],"[ 0.67029655  1.1697231   0.79926602  1.40675634  1.63060322  1.1358147
  0.02320427  0.19118694 -1.17817809  0.20880715  0.        ]",-0.0450670974203,-2.06407,[-0.46305142  0.54642025],"[[ 0.74394983  0.09839439  0.18799116  0.13151088]
 [-0.31326693 -0.50611709  0.          0.        ]]"
40,[-0.70324886 -0.55928731],[ 0.43217176 -0.09243868],"[ 0.69335774  1.16821268  0.77016411  1.43685459  1.63060132  1.13581388
 -0.16566933  0.55114504 -1.14911167  0.16923135  0.        ]",-0.0414956809336,-2.03092,[ 0.4527253   0.61938575],"[[ 0.71935942  0.11008778  0.18799116  0.13151088]
 [-2.13969035  1.66820724  0.          0.        ]]"
41,[-0.70324886 -0.55928731],[-0.46170959 -1.01003277],"[ 0.71561795  1.15831313  0.74064942  1.58455644  1.63059942  1.13581305
  0.02381462  0.95157189 -1.16147168  0.17725807  0.        ]",-0.0427714245347,-2.04399,[-0.7618193  -1.12874069],"[[ 0.6949498   0.16772027  0.18799116  0.13151088]
 [-0.30736577  4.08698421  0.          0.        ]]"
42,[-0.70324886 -0.55928731],[ 1.25828028  0.05527402],"[ 0.74753659  1.14874073  0.69563098  1.68932228  1.63059752  1.13581222
 -0.28704752  0.28285901 -1.14146068  0.14206829  0.        ]",-0.0401508849291,-2.02255,[ 1.08273473  0.71832973],"[[ 0.65864188  0.20893189  0.18799116  0.13151088]
 [-3.31342681  0.04763295  0.          0.        ]]"
43,[-0.70324886 -0.55928731],[-0.4044722 -1.0673573],"[ 0.76943935  1.1406318   0.66268983  1.76367797  1.63059563  1.13581139
  0.12870651  0.75331832 -1.12778266  0.11610313  0.        ]",-0.0383588804697,-2.0443,[-0.81120474 -0.75017216],"[[ 0.63271084  0.23839723  0.18799116  0.13151088]
 [ 0.70694489  2.88943803  0.          0.        ]]"
44,[-0.70324886 -0.55928731],[ 1.17239368 -0.16430439],"[ 0.78434793  1.13214395  0.63920706  1.83240759  1.63059373  1.13581057
 -0.20447646  0.25230674 -1.12481676  0.10445662  0.        ]",-0.0378517547732,-2.00189,[ 1.79748087 -1.05890286],"[[ 0.61452352  0.26582167  0.18799116  0.13151088]
 [-2.51495798 -0.13691435  0.          0.        ]]"
45,[-0.70324886 -0.55928731],[ 0.31079629  0.23957829],"[ 0.79245847  1.1448972   0.62604286  1.72580659  1.63059183  1.13580974
  0.2099146  -0.40300581 -1.07162128  0.03866044  0.        ]",-0.0319255582385,-2.03735,[-0.09941157 -0.39788198],"[[ 0.60442974  0.22336736  0.18799116  0.13151088]
 [ 1.4922314  -4.09531967  0.          0.        ]]"
46,[-0.70324886 -0.55928731],[ 0.59003735  0.88820606],"[ 0.7716525   1.16580937  0.65925769  1.47894336  1.63058993  1.13580891
  0.16625438 -0.65037133 -1.02749397 -0.009895    0.        ]",-0.0273504681272,-2.04629,[-0.22313789  1.65969393],"[[ 0.63003834  0.12646908  0.18799116  0.13151088]
 [ 1.07003494 -5.58952825  0.          0.        ]]"
47,[-0.70324886 -0.55928731],[ 0.54871118  0.62839258],"[ 0.76138023  1.17380542  0.67501422  1.29611552  1.63058803  1.13580808
  0.07262074  0.02351525 -0.98919053 -0.06431503  0.        ]",-0.0236564759943,-1.99609,[ 1.19839937  0.19933502],"[[ 0.64235443  0.05552018  0.18799116  0.13151088]
 [ 0.1645923  -1.51892955  0.          0.        ]]"
48,[-0.70324886 -0.55928731],[-1.35316777 -0.01471271],"[ 0.72423814  1.17502644  0.72881229  1.23878542  1.63058614  1.13580726
  0.48133655  0.15890564 -1.03367389  0.00840409  0.        ]",-0.028084593292,-2.07572,[-1.58647743  0.18121209],"[[ 0.68530094  0.03334703  0.18799116  0.13151088]
 [ 4.1168991  -0.70110651  0.          0.        ]]"
49,[-0.70324886 -0.55928731],[-0.08650853  0.28618389],"[ 0.68613656  1.1752738   0.77942502  1.22153476  1.63058424  1.13580643
  0.06380086  0.28024869 -1.09092198  0.09444865  0.        ]",-0.0346365101069,-2.02842,[ 0.14073991  0.17185484],"[[ 0.72712855  0.02667908  0.18799116  0.13151088]
 [ 0.07930651  0.03186391  0.          0.        ]]"
