timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
35,[-0.38497722 -2.98608088],[-0.43049693 -0.26970896],[-1.41816146 -4.10590916],-3.60811,"[[ -5.77647831e-01  -3.00399925e+00  -1.79240061e-01  -8.87690606e-02]
 [  6.95731637e+00  -9.11047537e-07   0.00000000e+00   0.00000000e+00]]","[ 0.86629156 -0.68310431 -0.95568658  0.19001055 -1.56553963 -0.77094856
  0.83327752  0.36484297  1.01546672  0.88533313  0.        ]",-0.182469692252
36,[-0.33499536 -2.86957479],[-0.43049693 -0.26970896],[-0.74815859 -3.44117123],-3.65729,"[[ -4.79608233e-01  -3.00399931e+00  -1.79240061e-01  -8.87690606e-02]
 [  2.86029665e+00  -4.21320014e-06   0.00000000e+00   0.00000000e+00]]","[ 0.93160224 -0.68310385 -0.820424    0.19001067 -1.56553708 -0.77094798
  0.44707222  0.36484229  1.02278843  0.87124331  0.        ]",-0.182557161323
37,[-0.21642295 -2.74779558],[-0.43049693 -0.26970896],[-0.06085717 -2.33954401],-3.76051,"[[ -4.52690904e-01  -3.00399938e+00  -1.79240061e-01  -8.87690606e-02]
 [ -1.58503563e-01  -2.32288521e-06   0.00000000e+00   0.00000000e+00]]","[ 0.94758707 -0.68310339 -0.78199038  0.19001078 -1.56553453 -0.7709474
  0.1625052   0.36484237  1.02502046  0.86751585  0.        ]",-0.182613393971
38,[-0.19380814 -2.73231483],[-0.43049693 -0.26970896],[-0.53322407 -2.57069582],-3.74103,"[[ -4.58247034e-01  -3.00399938e+00  -1.79240061e-01  -8.87690606e-02]
 [ -3.96316932e-01   1.07235855e-06   0.00000000e+00   0.00000000e+00]]","[ 0.94435668 -0.68310291 -0.78996532  0.1900107  -1.56553198 -0.77094682
  0.14008767  0.36484268  1.0245498   0.86828086  0.        ]",-0.182600628142
39,[-0.02712155 -2.6111393 ],[-0.43049693 -0.26970896],[ 0.93252911 -3.63937154],-3.6256,"[[ -4.87276894e-01  -3.00399938e+00  -1.79240061e-01  -8.87690606e-02]
 [ -2.49965978e+00  -3.45353009e-07   0.00000000e+00   0.00000000e+00]]","[ 0.92688948 -0.68310244 -0.83127501  0.1900106  -1.56552943 -0.77094624
 -0.05818391  0.36484228  1.02216582  0.87231592  0.        ]",-0.182543663712
40,[-0.21132267 -2.77942061],[-0.43049693 -0.26970896],[-0.76612643 -2.16523962],-3.77756,"[[ -4.99729029e-01  -3.00399932e+00  -1.79240061e-01  -8.87690606e-02]
 [  1.24197737e+00   4.24794988e-06   0.00000000e+00   0.00000000e+00]]","[ 0.91909419 -0.68310196 -0.84880281  0.19001031 -1.56552688 -0.77094566
  0.29452152  0.36484276  1.0211743   0.87407248  0.        ]",-0.18252412132
41,[-0.03283802 -2.62988472],[-0.43049693 -0.26970896],[-0.01240349 -1.80358099],-3.80138,"[[ -5.05570417e-01  -3.00399932e+00  -1.79240061e-01  -8.87690606e-02]
 [ -1.81592576e+00  -2.26333594e-06   0.00000000e+00   0.00000000e+00]]","[ 0.9153749  -0.68310148 -0.8569841   0.19001023 -1.56552433 -0.77094508
  0.00626803  0.3648416   1.02071886  0.87489497  0.        ]",-0.182516036511
42,[ 0.03202124 -2.60285997],[-0.43049693 -0.26970896],[-0.05694553 -2.02471138],-3.79024,"[[ -5.42020972e-01  -3.00399933e+00  -1.79240061e-01  -8.87690606e-02]
 [ -1.82908590e+00   2.20861786e-07   0.00000000e+00   0.00000000e+00]]","[ 0.89128457 -0.68310101 -0.90743172  0.19001018 -1.56552178 -0.7709445
  0.00502748  0.36484177  1.0179703   0.88012104  0.        ]",-0.182480116811
43,[ 0.11049638 -2.566746  ],[-0.43049693 -0.26970896],[ 0.1403807  -2.99854129],-3.69446,"[[ -5.80501541e-01  -3.00399933e+00  -1.79240061e-01  -8.87690606e-02]
 [ -2.01834034e+00   3.34284910e-07   0.00000000e+00   0.00000000e+00]]","[ 0.86422154 -0.68310054 -0.95949889  0.19001006 -1.56551923 -0.77094392
 -0.01281262  0.36484159  1.01526554  0.8857481   0.        ]",-0.182469920423
44,[ 0.13568658 -2.57351565],[-0.43049693 -0.26970896],[ 0.10192221 -0.98213778],-3.86154,"[[ -6.14890856e-01  -3.00399931e+00  -1.79240061e-01  -8.87690606e-02]
 [ -1.42257653e+00   8.30215223e-07   0.00000000e+00   0.00000000e+00]]","[ 0.83865028 -0.68310006 -1.0049341   0.19000992 -1.56551668 -0.77094334
  0.04334717  0.36484147  1.01302131  0.89086802  0.        ]",-0.182484906974
45,[ 0.14956534 -2.58169246],[-0.43049693 -0.26970896],[ 0.19783832 -1.38887999],-3.8393,"[[ -6.39010985e-01  -3.00398036e+00  -1.79240061e-01  -8.87690606e-02]
 [ -9.90874972e-01   1.30936574e-03   0.00000000e+00   0.00000000e+00]]","[ 0.81995141 -0.68309645 -1.03615387  0.18994895 -1.56551413 -0.77094276
  0.08404159  0.36503436  1.0115379   0.89448977  0.        ]",-0.182507347941
46,[ 0.12353746 -2.61403322],[-0.43049693 -0.26970896],[ 0.10537452 -2.78236982],-3.72232,"[[ -6.50772578e-01  -3.00397578e+00  -1.79240061e-01  -8.87690606e-02]
 [ -1.87960044e-01  -3.44628757e-04   0.00000000e+00   0.00000000e+00]]","[ 0.81060856 -0.68309522 -1.05117685  0.18993415 -1.56551158 -0.77094218
  0.15972853  0.36479011  1.01084477  0.89627156  0.        ]",-0.182522542212
47,[ 0.09941333 -2.63441324],[-0.43049693 -0.26970896],[-0.36565981 -3.49092691],-3.65644,"[[ -6.50308460e-01  -3.00398454e+00  -1.79240061e-01  -8.87690606e-02]
 [  2.32969124e-01  -4.31386865e-04   0.00000000e+00   0.00000000e+00]]","[ 0.81097934 -0.6830962  -1.05058548  0.18996219 -1.56550903 -0.7709416
  0.19940747  0.36477711  1.01087517  0.89620828  0.        ]",-0.182522726605
48,[ 0.19579875 -2.55993867],[-0.43049693 -0.26970896],[-0.39195361 -1.92075379],-3.8049,"[[ -6.60221127e-01  -3.00399163e+00  -1.79240061e-01  -8.87690606e-02]
 [ -1.21939589e+00  -2.72471937e-04   0.00000000e+00   0.00000000e+00]]","[ 0.80299692 -0.6830969  -1.06314719  0.18998489 -1.56550648 -0.77094102
  0.06249968  0.36480036  1.01031211  0.89772606  0.        ]",-0.182538646701
49,[ 0.34352821 -2.46726012],[-0.43049693 -0.26970896],[-0.17267713 -4.17653631],-3.59011,"[[ -6.99937138e-01  -3.00399568e+00  -1.79240061e-01  -8.87690606e-02]
 [ -2.74711402e+00  -1.42220967e-04   0.00000000e+00   0.00000000e+00]]","[ 0.76999598 -0.6830971  -1.11250161  0.1899978  -1.56550393 -0.77094044
 -0.08151129  0.36481939  1.00818745  0.90384947  0.        ]",-0.182619052698
