timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
35,[-0.27047411 -0.13051337],"[ 1.01530984 -0.63309359  0.11975292  0.27503075 -1.60472041  0.27884195
 -0.53305673  0.35233678  1.0517354  -0.34147714  0.        ]",[ 0.99773919 -1.67335445],-1.41845,-0.185609558577,"[[ 0.15495136 -3.00606893 -0.18565757  0.03277637]
 [ 0.30318556  0.06406294  0.          0.        ]]",[-0.13433553 -1.09859824]
36,[-0.27047411 -0.13051337],"[ 1.00387261 -0.63290735  0.18886528  0.27212965 -1.60471265  0.27884155
 -0.28825135  0.34873393  1.05743625 -0.3447746   0.        ]",[ 1.56953724 -1.5526673 ],-1.4105,-0.186462710287,"[[ 0.20058988 -3.00505053 -0.18565757  0.03277637]
 [ 4.24752103  0.03802322  0.          0.        ]]",[-0.17187896 -1.11823308]
37,[-0.27047411 -0.13051337],"[ 0.95836644 -0.63280428  0.37276328  0.27054151 -1.60470488  0.27884114
 -0.04773672  0.34614648  1.0728776  -0.35022622  0.        ]",[-0.15482842 -1.86903566],-1.50434,-0.18866402442,"[[ 0.32442147 -3.00449304 -0.18565757  0.03277637]
 [ 8.12272394  0.01932345  0.          0.        ]]",[-0.18362385 -1.1279788 ]
38,[-0.27047411 -0.13051337],"[ 0.87273734 -0.63275312  0.59161766  0.26976493 -1.60469712  0.27884073
 -0.09576333  0.34472835  1.09266736 -0.3535238   0.        ]",[-0.51725279 -2.14811944],-1.5474,-0.191369671657,"[[ 0.47911203 -3.00422048 -0.18565757  0.03277637]
 [ 7.34891173  0.00907615  0.          0.        ]]",[-0.16008878 -1.1216929 ]
39,[-0.27047411 -0.13051337],"[ 0.78151092 -0.63272895  0.75628543  0.26940814 -1.60468936  0.27884033
 -0.23189904  0.34403459  1.10879339 -0.35351926  0.        ]",[-1.09879907 -1.53784124],-1.56515,-0.193491677283,"[[  6.04082810e-01  -3.00409533e+00  -1.85657572e-01   3.27763665e-02]
 [  5.15547550e+00   4.06506132e-03   0.00000000e+00   0.00000000e+00]]",[-0.13337979 -1.11093187]
40,[-0.27047411 -0.13051337],"[ 0.72908497 -0.63271761  0.83350797  0.26925052 -1.60468159  0.27883992
 -0.483967    0.34371552  1.1168068  -0.35264327  0.        ]",[ 0.31039736 -1.08064729],-1.46853,-0.194520247433,"[[  6.66443478e-01  -3.00404012e+00  -1.85657572e-01   3.27763665e-02]
 [  1.09412570e+00   1.76240499e-03   0.00000000e+00   0.00000000e+00]]",[-0.09215687 -1.09169948]
41,[-0.27047411 -0.13051337],"[ 0.69866727 -0.63271205  0.87406563  0.26918249 -1.60467383  0.27883951
 -0.4090353   0.34357514  1.12114277 -0.35191996  0.        ]",[-0.42955324  0.04695538],-1.4721,-0.195069724734,"[[  7.00439156e-01  -3.00401636e+00  -1.85657572e-01   3.27763665e-02]
 [  2.30141887e+00   7.51437929e-04   0.00000000e+00   0.00000000e+00]]",[-0.10056418 -1.09493411]
42,[-0.27047411 -0.13051337],"[ 0.67219351 -0.63235669  0.90719358  0.26373167 -1.60466607  0.27883911
 -0.51741783  0.36952037  1.12592968 -0.35231675  0.        ]",[ 0.77338546  0.68259462],-1.37604,-0.195712927849,"[[ 0.72894657 -3.00210214 -0.18565757  0.03277637]
 [ 0.55514137  0.18830147  0.          0.        ]]",[-0.07839987 -1.08604026]
43,[-0.27047411 -0.13051337],"[ 0.63191207 -0.62597872  0.95416367  0.17611268 -1.6046583   0.2788387
 -0.32804484  0.74292833  1.15109397 -0.36813733  0.        ]",[-1.15462088 -0.28438694],-1.57761,-0.199512179348,"[[ 0.77066286 -2.97125416 -0.18565757  0.03277637]
 [ 3.60631469  2.88750116  0.          0.        ]]",[-0.10873237 -1.13641441]
44,[-0.27047411 -0.13051337],"[ 0.60013117 -0.61417256  0.98859594  0.04668948 -1.60465054  0.27883829
 -0.5782129   0.57921673  1.18661393 -0.38933087  0.        ]",[ 0.88370038 -0.28034711],-1.48809,-0.204845904661,"[[ 0.80234752 -2.92537743 -0.18565757  0.03277637]
 [-0.42440997  1.70411619  0.          0.        ]]",[-0.05790491 -1.10586298]
45,[-0.27047411 -0.13051337],"[ 0.57258087 -0.60733939  1.01675009 -0.01662865 -1.60464278  0.27883789
 -0.36053882  0.4210017   1.20671889 -0.39691994  0.        ]",[-0.97667532 -0.29470031],-1.62725,-0.207727787172,"[[ 0.82904774 -2.90276977 -0.18565757  0.03277637]
 [ 3.08274286  0.56046165  0.          0.        ]]",[-0.10764059 -1.11905313]
46,[-0.27047411 -0.13051337],"[ 0.54910647 -0.6075318   1.03958821 -0.01492065 -1.60463502  0.27883748
 -0.60433053  0.25801618  1.20995245 -0.39388157  0.        ]",[-0.56832907 -1.91388434],-1.64579,-0.20805739857,"[[ 0.85129187 -2.90338118 -0.18565757  0.03277637]
 [-0.84523904 -0.61767737  0.          0.        ]]",[-0.04601227 -1.07276297]
47,[-0.27047411 -0.13051337],"[ 0.59027273 -0.62219294  0.998834    0.13108947 -1.60462725  0.27883707
 -0.74295953 -0.28807829  1.16762354 -0.37367724  0.        ]",[ 0.61219249 -1.90409563],-1.54378,-0.201860870566,"[[ 0.81197666 -2.95534074 -0.18565757  0.03277637]
 [-3.07884822 -4.565122    0.          0.        ]]",[ 0.01459552 -0.99015099]
48,[-0.27047411 -0.13051337],"[ 0.62728866 -0.6385583   0.95929124  0.37406552 -1.60461949  0.27883667
 -0.58873043  0.14378333  1.10469235 -0.32574964  0.        ]",[-0.20065861 -1.87059097],-1.49664,-0.192123946737,"[[ 0.77533042 -3.04076151 -0.18565757  0.03277637]
 [-0.59393491 -1.44341452  0.          0.        ]]",[-0.05160792 -1.04977214]
49,[-0.27047411 -0.13051337],"[ 0.64665806 -0.63866865  0.93739763  0.37644098 -1.60461173  0.27883626
 -0.63730291  0.43634958  1.10414506 -0.32734597  0.        ]",[-0.17572763 -0.51806831],-1.43093,-0.192098503001,"[[ 0.75559978 -3.04159218 -0.18565757  0.03277637]
 [-1.37655075  0.67139911  0.          0.        ]]",[-0.0471122  -1.07054162]
