timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
40,[-0.63326877 -0.45942399],"[ 1.21836481 -1.16910671  0.55196189 -0.79756897  0.47558759  0.2131163
 -1.07131027  0.27164161 -0.07911424 -0.51862455  0.        ]",[-3.69113207  3.14479971],"[[ -4.99372594e+01  -2.25000238e+00   5.56924635e-02   2.47482324e-02]
 [ -1.10117715e+02   5.77933919e+00   0.00000000e+00   0.00000000e+00]]",-3.42112,-0.0958117647679,[-3.91134165  3.61106801]
41,[-0.63326877 -0.45942399],"[-0.53769131 -0.99627973 -1.29267315 -0.96520293  0.47558754  0.21311628
 -1.11849837  0.60650558 -1.04213683 -0.15329139  0.        ]",[-3.78525925  2.49733543],"[[ -5.21574118e+01  -2.09540586e+00   5.56924635e-02   2.47482324e-02]
 [ -1.11891012e+02   9.66838565e+00   0.00000000e+00   0.00000000e+00]]",-4.96946,-0.164490644271,[-3.81597708  1.14280169]
42,[-0.63326877 -0.45942399],"[-0.84371341 -0.70831628  1.30956045 -1.14133229  0.47558749  0.21311626
 -1.16464835  0.93530775 -0.1057015   0.63723421  0.        ]",[-4.22331572  8.12267399],"[[ -5.44126397e+01  -1.86373575e+00   5.56924635e-02   2.47482324e-02]
 [ -1.13625299e+02   1.34870323e+01   0.00000000e+00   0.00000000e+00]]",0.00946236,-0.0893417068547,[-4.10613344  8.64596744]
43,[-0.63326877 -0.45942399],"[ 1.27627434 -0.29671808 -0.13766274 -1.22279711  0.47558743  0.21311624
 -1.20977365  1.25809445  0.08043697 -0.85067015  0.        ]",[-3.71594763  2.78946495],"[[ -5.67021667e+01  -1.55638944e+00   5.56924635e-02   2.47482324e-02]
 [ -1.15321080e+02   1.72358181e+01   0.00000000e+00   0.00000000e+00]]",-3.14834,-0.151561094342,[-4.04039363  2.56897239]
44,[-0.63326877 -0.45942399],"[-1.19331043  0.20741188 -0.81121183 -1.0746397   0.47558738  0.21311622
 -1.25392332  1.57458382 -1.46107122 -0.12502455  0.        ]",[-4.18599606  4.5541749 ],"[[ -5.90252380e+01  -1.17478948e+00   5.56924635e-02   2.47482324e-02]
 [ -1.16980199e+02   2.09114704e+01   0.00000000e+00   0.00000000e+00]]",-2.38011,-0.232716258304,[-3.82069699  4.6650075 ]
45,[-0.63326877 -0.45942399],"[ 0.06811294  0.70397647  1.52479791 -0.57072688  0.47558732  0.2131162
 -1.29720746  1.8840954   0.14227838  1.00334266  0.        ]",[-4.39761734  7.69896126],"[[ -6.13811572e+01  -7.20469971e-01   5.56924635e-02   2.47482324e-02]
 [ -1.18606792e+02   2.45060877e+01   0.00000000e+00   0.00000000e+00]]",1.02909,-0.152768508961,[-4.21788001  6.46663345]
46,[-0.63326877 -0.45942399],"[ 0.72476867  1.01558019 -1.08545298  0.32221671  0.47558727  0.21311618
 -1.33980287  2.18564921  0.2133963  -1.2003302   0.        ]",[-4.44708157  4.39889765],"[[ -6.37693369e+01  -1.95162222e-01   5.56924635e-02   2.47482324e-02]
 [ -1.20207505e+02   2.80082902e+01   0.00000000e+00   0.00000000e+00]]",-2.15196,-0.211012850306,[-3.79550745  3.91334265]
47,[-0.63326877 -0.45942399],"[-1.45747621  0.93461868  0.39503821  1.4390071   0.47558722  0.21311616
 -1.38190904  2.47836225 -1.64688541 -0.06629033  0.        ]",[-5.01054192  7.98579979],"[[ -6.61893356e+01   3.99175119e-01   5.56924635e-02   2.47482324e-02]
 [ -1.21789834e+02   3.14078243e+01   0.00000000e+00   0.00000000e+00]]",1.58777,-0.262571447421,[-4.88397391  7.67471372]
48,[-0.63326877 -0.45942399],"[ 1.13912388  0.34689106  0.74678891  2.36666015  0.47558716  0.21311614
 -1.42363702  2.76214412  0.13635793  0.89679198  0.        ]",[-5.02107096  8.48457623],"[[ -6.86408375e+01   1.06045522e+00   5.56924635e-02   2.47482324e-02]
 [ -1.23357952e+02   3.47036415e+01   0.00000000e+00   0.00000000e+00]]",0.294185,-0.136041917724,[-4.46727023  8.02004702]
49,[-0.63326877 -0.45942399],"[-0.68823697 -0.60716594 -1.23006301  2.56640224  0.47558711  0.21311612
 -1.46486706  3.03838598 -0.03088367 -0.79160493  0.        ]",[-5.12461662  8.10094547],"[[ -7.11235316e+01   1.78673265e+00   5.56924635e-02   2.47482324e-02]
 [ -1.24907358e+02   3.79118999e+01   0.00000000e+00   0.00000000e+00]]",-0.171559,-0.139821562904,[-4.74229404  8.7259421 ]
